Item:,Quantity,Price (without tax),URL
ESP32,2,13.5,https://www.aliexpress.us/item/3256812511198862.html?spm=a2g0o.productlist.main.6.11dc3gh53gh5vX&algo_pvid=ebc8eec7-4fd4-419f-b5ee-41edd353e5f1&algo_exp_id=ebc8eec7-4fd4-419f-b5ee-41edd353e5f1-5&pdp_ext_f=%7B%22order%22%3A%22567%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.75%210.99%21%21%2145.13%216.63%21%402101de2517881270833593066e0e8c%2112000059118276577%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A24560dc0%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=7D4cj
Linear Pot,1,1.98,https://www.aliexpress.us/item/3256807426988053.html?spm=a2g0o.productlist.main.8.46e23055dS9o64&aem_p4p_detail=202608301458582695575784650400001004516&algo_pvid=377c7de9-48d3-48a3-b6f2-cba8a896e5b2&algo_exp_id=377c7de9-48d3-48a3-b6f2-cba8a896e5b2-7&pdp_ext_f=%7B%22order%22%3A%22212%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.98%211.88%21%21%2113.24%2112.57%21%402101e75417881271383324387e0ebd%2112000041504201006%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A24560dc0%3Bm03_new_user%3A-29895%3BpisId%3A5000000210913316&curPageLogUid=rKHbMRmxxIqn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007613302805%7C_p_origin_prod%3A&search_p4p_id=202608301458582695575784650400001004516_2
Joystick,1,2.75,https://www.aliexpress.us/item/3256809366502918.html?spm=a2g0o.productlist.main.7.53f2degUdegU3W&algo_pvid=8a1bc414-830c-403b-8be0-3e62d86d8286&algo_exp_id=8a1bc414-830c-403b-8be0-3e62d86d8286-6&pdp_ext_f=%7B%22order%22%3A%2247%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.75%212.65%21%21%212.75%212.65%21%4021032c8d17881272007024585e0df0%2112000049444541243%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A24560dc0%3Bm03_new_user%3A-29895%3BpisId%3A5000000210913316&curPageLogUid=r7c2E4BaSFXu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009552817670%7C_p_origin_prod%3A
ESC and BLDC,1,14.07,https://www.aliexpress.us/item/3256808198837002.html?spm=a2g0o.productlist.main.8.5b95gv5xgv5xwp&aem_p4p_detail=202608301500381649828060916220004184958&algo_pvid=b1a4250d-947e-4a86-a2ce-974702bc9bfc&algo_exp_id=b1a4250d-947e-4a86-a2ce-974702bc9bfc-7&pdp_ext_f=%7B%22order%22%3A%2286%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.07%211.04%21%21%2194.04%216.91%21%402103094f17881272388335774e0e8b%2112000044804552638%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A24560dc0%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792324&curPageLogUid=jgCcOpc3v4Vo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008385151754%7C_p_origin_prod%3A&search_p4p_id=202608301500381649828060916220004184958_2
Lipo Connector converters,1,0.84,https://www.aliexpress.us/item/3256810153384905.html?spm=a2g0o.productlist.main.21.15c7ux6vux6vtn&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005010339699657%7C_p_origin_prod%3A&algo_pvid=afe616ee-b8b3-4978-9eb4-95e87c21cf68&algo_exp_id=afe616ee-b8b3-4978-9eb4-95e87c21cf68&pdp_ext_f=%7B%22order%22%3A%22224%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.84%210.80%21%21%215.60%215.32%21%402103119c17881273442838340e0d8e%2112000052034591594%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A24560dc0%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt
Breadboard,2,3.56,https://www.aliexpress.us/item/3256808456284845.html?spm=a2g0o.productlist.main.8.3d6d6225NxhPRr&aem_p4p_detail=202608301505172089682369649750004198834&algo_pvid=1ad463d5-323e-49d4-af20-ea07af25613f&algo_exp_id=1ad463d5-323e-49d4-af20-ea07af25613f-7&pdp_ext_f=%7B%22order%22%3A%22356%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.78%211.13%21%21%2111.90%217.54%21%402103128917881275175175268e0e33%2112000046068037082%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A24560dc0%3Bm03_new_user%3A-29895%3BpisId%3A5000000210913316&curPageLogUid=RIYYEvAhmvfz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008642599597%7C_p_origin_prod%3A&search_p4p_id=202608301505172089682369649750004198834_2
Cable Line Jumpber wires,1,6.8,https://www.aliexpress.us/item/3256803032782196.html?spm=a2g0o.productlist.main.16.248a57ddIc24yX&aem_p4p_detail=20260830150619977255462399680004237175&algo_pvid=f7496763-1687-4375-9212-af98a2bd9bd5&algo_exp_id=f7496763-1687-4375-9212-af98a2bd9bd5-15&pdp_ext_f=%7B%22order%22%3A%226080%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.80%210.99%21%21%216.80%210.99%21%402103094f17881275789074014e0e8b%2112000024783046564%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A24560dc0%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=l4Dyfg3EU9PH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003219096948%7C_p_origin_prod%3A&search_p4p_id=20260830150619977255462399680004237175_4
Normal Jumper Wires,1,2.76,https://www.aliexpress.us/item/3256809780010947.html?spm=a2g0o.productlist.main.1.248a57ddneRe5x&algo_pvid=7947695a-d85d-4eb0-83b1-f9cf9e902b48&algo_exp_id=7947695a-d85d-4eb0-83b1-f9cf9e902b48-0&pdp_ext_f=%7B%22order%22%3A%22175%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.76%210.99%21%21%2118.48%216.65%21%4021030f4a17881277249402771e0e57%2112000050709772351%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A24560dc0%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=SVZdKeeMBA3Q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009966325699%7C_p_origin_prod%3A
Ball Bearing,10,6.99,https://vxb.com/products/6000-z-ball-bearing-double-shielded-id-10mm-od-26m?srsltid=AfmBOopBkQD0FSLHDMWZA7nc6p_BjbyuBKrqQf8wBfgdJ-ASZsLJYdNI&variant=43549676044523

TOTAL:,"WITHOUT SHIPPING, BEFORE TAX",53.28,N/A
